Type,PlayerID,PlayerID_Override,Order,Rosterable,DOB,Range$,Target,Team,Pos,Prj$,Player,Drafted,MyRank,YahRnk,ESPNRnk,Other,TierID,MyLeague$,Yah$,YAvg$,YDelta$,ESPN$,Actual$,Manager,Paid$,Delta$,Surplus,Budget%,PrjPts/Gm,GamesPlayed,EOS_Total,EOS_Avg,EOS_Avg_Delta,EOS_Surplus,Year,Age,Bye,Notes
Player,00-0038542,,1,Yes,37286,$60+,,ATL,RB,62,Bijan Robinson,,1,1,1,,R01,70,62,71.1,9.1,67,,,,,,,19.47,16,360.5,22.53125,,,4,24,11,
Player,00-0039139,,2,Yes,37335,$60+,,DET,RB,60,Jahmyr Gibbs,,2,3,2,,R02,70,60,70.7,10.7,66,,,,,,,19.51,16,345.6,21.6,,,4,24,6,
Player,00-0036900,,3,Yes,36586,$60+,,CIN,WR,61,Ja'Marr Chase,,3,2,4,,W01,68,61,67.5,6.5,65,,,,,,,19.55,15,289,19.26666667,,,6,26,6,
Player,00-0039075,,4,Yes,37040,$50-$59,,LA,WR,59,Puka Nacua,,4,4,3,,W02,60,59,64.8,5.8,66,,,,,,,17.5,15,348,23.2,,,4,25,11,
Player,00-0038543,,5,Yes,37301,$50-$59,,SEA,WR,58,Jaxon Smith-Njigba,,5,5,6,,W03,60,58,63.3,5.3,64,,,,,,,17.05,16,344.5,21.53125,,,4,24,11,
Player,00-0036963,,6,Yes,36457,$50-$59,,DET,WR,52,Amon-Ra St. Brown,,6,9,8,,W04,58,52,56.2,4.2,61,,,,,,,17.43,16,299.1,18.69375,,,6,26,6,
Player,00-0036223,,7,Yes,36179,$50-$59,,IND,RB,54,Jonathan Taylor,,7,8,7,,R03,57,54,60.5,6.5,61,,,,,,,16.85,16,355.4,22.2125,,,7,27,13,
Player,00-0037248,,8,Yes,36428,$50-$59,,BUF,RB,50,James Cook,,8,10,12,,R04,56,50,56,6,50,,,,,,,15.58,16,297.7,18.60625,,,5,26,7,
Player,00-0033280,,9,Yes,35223,$50-$59,,SF,RB,57,Christian McCaffrey,,9,6,5,,R05,57,57,62.8,5.8,63,,,,,,,17.94,16,404.9,25.30625,,,10,30,8,
Player,00-0036322,,10,Yes,36327,$40-$49,,MIN,WR,48,Justin Jefferson,,10,11,11,,W05,52,48,52.1,4.1,57,,,,,,,15.41,16,183.1,11.44375,,,7,26,6,
Player,00-0036358,,11,Yes,36258,$50-$59,,DAL,WR,55,CeeDee Lamb,,11,7,10,,W06,56,55,60.1,5.1,60,,,,,,,15.78,12,199.5,16.625,,,7,27,14,
Player,00-0040122,,12,Yes,37957,$40-$49,,LV,RB,46,Ashton Jeanty,,12,12,13,,R06,50,46,49.7,3.7,45,,,,,,,15.26,16,231.7,14.48125,,,2,22,13,
Player,00-0038134,,13,Yes,36819,$30-$39,,KC,RB,36,Kenneth Walker III,,13,20,28,,R07,50,36,38.3,2.3,32,,,,,,,15.6,16,174.6,10.9125,,,5,25,5,
Player,00-0040666,,14,Yes,37696,$30-$39,,LAC,RB,37,Omarion Hampton,,14,19,19,,R08,48,37,40.6,3.6,44,,,,,,,14.33,9,136.7,15.18888889,,,2,23,7,
Player,00-0037238,,15,Yes,37096,$40-$49,,ATL,WR,43,Drake London,,15,14,17,,W07,45,43,45.3,2.3,51,,,,,,,13.99,11,183.1,16.64545455,,,5,24,11,
Player,00-0038597,,16,Yes,36606,$40-$49,,CIN,RB,42,Chase Brown,,16,15,27,,R09,45,42,45.6,3.6,39,,,,,,,14.76,16,263.6,16.475,,,4,26,6,
Player,00-0035676,,17,Yes,35611,$20-$29,,NE,WR,27,A.J. Brown,,17,29,30,,W08,45,27,25.6,-1.4,34,,,,,,,12.52,15,220.3,14.68666667,,,8,28,11,
Player,00-0034844,,18,Yes,35470,$40-$49,,PHI,RB,42,Saquon Barkley,,18,16,14,,R10,45,42,47.5,5.5,42,,,,,,,13.16,16,231.3,14.45625,,,9,29,10,
Player,00-0039040,,19,Yes,37177,$40-$49,,MIA,RB,44,De'Von Achane,,19,13,9,,R11,43,44,47.5,3.5,59,,,,,,,15.83,16,322.8,20.175,,,4,24,6,
Player,00-0036554,,20,Yes,36238,$40-$49,,HOU,WR,41,Nico Collins,,20,17,21,,W09,41,41,41.2,0.2,37,,,,,,,13.11,15,225.2,15.01333333,,,6,27,8,
Player,00-0037247,,21,Yes,36954,$30-$39,,DAL,WR,35,George Pickens,,21,21,26,,W10,35,35,35,0,30,,,,,,,14.56,16,290,18.125,,,5,25,14,
Player,00-0039337,,22,Yes,37830,$30-$39,,NYG,WR,32,Malik Nabers,,22,24,24,,W11,35,32,32.5,0.5,35,,,,,,,14.46,4,57.1,14.275,,,3,22,8,
Player,00-0032764,,23,Yes,34338,$20-$29,,BAL,RB,29,Derrick Henry,,23,27,16,,R12,35,29,34.5,5.5,41,,,,,,,14.44,16,263.9,16.49375,,,11,32,13,
Player,LOV121782,,24,No,38503,$30-$39,,AZ,RB,31,Jeremiyah Love,,24,25,15,,R13,32,31,32.3,1.3,54,,,,,,,14.81,0,0,0,,,0,21,#N/A,
Player,00-0039338,,25,Yes,37603,$30-$39,,LV,TE,38,Brock Bowers,,25,18,23,,T01,30,38,38.3,0.3,38,,,,,,,13.98,12,176.2,14.68333333,,,3,23,13,
Player,00-0037744,,26,Yes,36486,$30-$39,,AZ,TE,34,Trey McBride,,26,22,18,,T02,30,34,35.4,1.4,47,,,,,,,15.29,16,302.4,18.9,,,5,26,#N/A,
Player,00-0037239,,27,Yes,36704,$30-$39,,NO,WR,30,Chris Olave,,27,26,31,,W12,30,30,27.5,-2.5,33,,,,,,,12.49,16,267,16.6875,,,5,25,8,
Player,00-0036912,,28,Yes,36113,$20-$29,,PHI,WR,28,DeVonta Smith,,28,28,37,,W13,30,28,26,-2,26,,,,,,,11.8,16,193.6,12.1,,,6,27,10,
Player,00-0039067,,29,Yes,36638,$20-$29,,KC,WR,26,Rashee Rice,,29,31,22,,W14,30,26,24.3,-1.7,53,,,,,,,11.79,8,150.1,18.7625,,,4,26,5,
Player,00-0035700,,30,Yes,35837,$20-$29,,GB,RB,26,Josh Jacobs,,30,30,25,,R14,28,26,28.1,2.1,40,,,,,,,13.65,15,235.1,15.67333333,,,8,28,11,
Player,00-0034857,,31,Yes,35206,$30-$39,,BUF,QB,33,Josh Allen,,31,23,20,,Q01,25,33,36.4,3.4,26,,,,,,,23.72,16,401.62,25.10125,,,9,30,7,
Player,00-0040124,,32,Yes,37716,$20-$29,,CAR,WR,25,Tetairoa McMillan,,32,32,25,,W15,25,25,22.6,-2.4,28,,,,,,,13.22,16,200.9,12.55625,,,2,23,5,
Player,00-0036410,,33,Yes,36178,$20-$29,,CIN,WR,23,Tee Higgins,,33,34,44,,W16,25,23,19.3,-3.7,20,,,,,,,14.95,14,192.9,13.77857143,,,7,27,6,
Player,00-0037840,,34,Yes,36764,$20-$29,,LA,RB,20,Kyren Williams,,34,37,33,,R15,22,20,21.9,1.9,26,,,,,,,12.27,16,250.4666667,15.65416667,,,5,25,11,
Player,00-0034796,,35,Yes,35437,$20-$29,,BAL,QB,24,Lamar Jackson,,35,33,34,,Q02,20,24,23.1,-0.9,12,,,,,,,21.04,12,221.44,18.45333333,,,9,29,13,
Player,00-0040126,,36,Yes,38086,$20-$29,,CHI,TE,20,Colston Loveland,,36,36,41,,T03,20,20,19.8,-0.2,15,,,,,,,12.57,15,140,9.333333333,,,2,22,10,
Player,00-0036973,,37,Yes,36186,$10-$19,,NO,RB,19,Travis Etienne,,37,38,39,,R16,20,19,17.6,-1.4,25,,,,,,,11.72,16,249.1,15.56875,,,6,27,8,
Player,00-0039915,,38,Yes,37206,$10-$19,,LAC,WR,17,Ladd McConkey,,38,40,54,,W17,20,17,12.7,-4.3,21,,,,,,,11.17,16,181.6666667,11.35416667,,,3,24,7,
Player,00-0036997,,39,Yes,36641,$10-$19,,DAL,RB,17,Javonte Williams,,39,41,32,,R17,20,17,18.3,1.3,31,,,,,,,13.75,16,240.8,15.05,,,6,26,14,
Player,00-0040735,,40,Yes,37967,$10-$19,,CHI,WR,16,Luther Burden III,,40,46,68,,W18,20,16,10.7,-5.3,12,,,,,,,12.56,14,127.8333333,9.130952381,,,2,22,10,
Player,00-0038120,,41,Yes,37042,$10-$19,,NYJ,RB,18,Breece Hall,,41,39,29,,R18,18,18,18.2,0.2,38,,,,,,,13.34,16,207.66,12.97875,,,5,25,13,
Player,00-0037740,,42,Yes,36729,$20-$29,,NYJ,WR,21,Garrett Wilson,,42,35,36,,W19,17,21,17,-4,35,,,,,,,12.55,7,99.5,14.21428571,,,5,25,13,
Player,00-0039064,,43,Yes,36780,$10-$19,,BAL,WR,17,Zay Flowers,,43,42,40,,W20,17,17,13.3,-3.7,27,,,,,,,13.59,16,210.5,13.15625,,,4,25,13,
Player,00-0031381,,44,Yes,33962,$10-$19,,LA,WR,17,Davante Adams,,44,44,42,,W21,17,17,13.7,-3.3,22,,,,,,,11.56,14,222.9,15.92142857,,,13,33,11,
Player,00-0036613,,45,Yes,36124,$10-$19,,DEN,WR,17,Jaylen Waddle,,45,45,56,,W22,17,17,12.5,-4.5,18,,,,,,,13.1,16,194.12,12.1325,,,6,27,10,
Player,00-0040715,,46,Yes,37292,$10-$19,,NYG,RB,13,Cam Skattebo,,46,50,38,,R19,17,13,11.3,-1.7,25,,,,,,,11.78,8,126.7,15.8375,,,2,24,8,
Player,00-0039851,,47,Yes,37498,$10-$19,,NE,QB,17,Drake Maye,,47,43,46,,Q03,15,17,15.3,-1.7,11,,,,,,,19.35,16,385.22,24.07625,,,3,23,11,
